Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
엘에스엠앤엠 주식회사,기후에너지환경부,업체,1차 비철금속 제조업,493516,8509,한국표준협회
엘에스일렉트릭(주),산업통상자원부,사업장,전기전자,16427,340,(주)한국경영인증원
엘에스전선 주식회사,기후에너지환경부,업체,절연선 및 케이블 제조업,99356,2013,㈜한국품질보증원
엘지디스플레이(주),기후에너지환경부,업체,전자 부품 제조업,3671012,53590,㈜디엔브이비즈니스어슈어런스코리아
엘지마그나 이파워트레인 주식회사,산업통상자원부,사업장,자동차,18891,393,(주)비에스아이그룹코리아
엘지유플러스(주),기후에너지환경부,업체,전기 통신업,1418334,29633,한국표준협회
엘지이노텍 주식회사,기후에너지환경부,업체,전자 부품 제조업,426341,8861,(주)비에스아이그룹코리아
엘지전자 주식회사,기후에너지환경부,업체,반도체 제조업,257475,5469,㈜디엔브이비즈니스어슈어런스코리아
엠이엠씨코리아주식회사,기후에너지환경부,사업장,반도체 제조업,115124,2429,(주)신화엔지니어링종합건축사사무소
엠코테크놀로지코리아(주),기후에너지환경부,업체,반도체 제조업,369182,7423,(주)비에스아이그룹코리아
여수시,기후에너지환경부,업체,폐기물,116702,803,지속가능인증원주식회사
여주에너지서비스,산업통상자원부,업체,발전에너지,2014575,40034,(주)한국경영인증원
여천엔씨씨 주식회사,기후에너지환경부,업체,기초 화학물질 제조업,3803197,73678,(재)한국품질재단
연천군,기후에너지환경부,사업장,폐기물,16906,25,(재)한국품질재단
영우해운(주),해양수산부,사업장,교통(해운),13426,188,한국표준협회
영주시,기후에너지환경부,사업장,폐기물 처리업,36061,133,(재)한국품질재단
영풍전자(주),기후에너지환경부,사업장,전자 부품 제조업,38638,775,(주)한국경영인증원
영풍제지(주),기후에너지환경부,사업장,"펄프, 종이 및 판지 제조업",91679,1329,한국표준협회
영화금속(주),기후에너지환경부,사업장,금속 주조업,87847,1290,(재)한국품질재단
오뚜기라면 주식회사,기후에너지환경부,업체,기타 식품 제조업,47742,960,(주)비에스아이그룹코리아
오라이온코리아 주식회사 ,기후에너지환경부,업체,기초 화학물질 제조업,360685,542,㈜디엔브이비즈니스어슈어런스코리아
오비맥주(주),기후에너지환경부,사업장,알코올 음료 제조업,90773,1918,(주)한국경영인증원
오산시,기후에너지환경부,사업장,하수처리업,19899,263,㈜한국품질보증원
오성연료전지 주식회사,기후에너지환경부,사업장,전기업,35002,0,한국표준협회
오씨아이주식회사,기후에너지환경부,업체,기타 화학제품 제조업,1187244,18408,㈜디엔브이비즈니스어슈어런스코리아
오씨아이홀딩스 주식회사,기후에너지환경부,업체,기초 화학물질 제조업,1140,22,㈜디엔브이비즈니스어슈어런스코리아
오케이에프음료(주),농림축산식품부,사업장,음료제조업,20171,389,한국표준협회
옥천군,기후에너지환경부,사업장,지정외 폐기물처리업 등,17258,60,한국표준협회
온세미컨덕터코리아(주),기후에너지환경부,업체,반도체 제조업,193260,3199,(주)비에스아이그룹코리아
와이이십이프로젝트금융투자 주식회사,국토교통부,사업장,건물,17446,360,한국생산성본부인증원(주)
와이케이스틸(주),기후에너지환경부,업체,1차 철강 제조업,214963,3861,한국표준협회
용남고속(주),기후에너지환경부,사업장,육상 여객 운송업,21173,372,(주)한국경영인증원
